name,coordinate
3333bf6f-57cb-4d90-afe1-636dcd88a255.jpg,498_237_173_172_1;1049_20_18_82_1
1eb97c5b-78ef-455b-8c9c-3fc8c33201f9.jpg,438_79_233_285_1;627_52_114_101_1;205_191_166_164_1;822_0_140_41_1;477_373_408_127_1;1046_0_21_32_1
eeeb4783-6acb-4e83-9adf-fc0d2ee1f74d.jpg,195_266_176_143_1
98681fd0-656a-4e52-b2cf-77ad5747e51d.jpg,1042_0_27_47_1;391_12_128_110_1;292_171_179_183_1
c8b43dfa-094c-407a-9867-3f351354a755.jpg,281_97_238_322_1;699_437_248_60_1;570_24_138_78_0
3672d771-20f8-4a90-ba77-2cd7a6b30d1b.jpg,774_0_70_24_1;598_13_101_67_1;52_30_114_65_1;202_89_122_90_1;561_67_92_106_1;739_80_96_107_1;464_245_161_153_1;68_248_209_221.01136399999996_1;798_366_218_131_1;639_0_68_23_1
f5458541-c27b-4f76-9544-0e02583716f7.jpg,531_10_75_77_1;376_199_162_165_1
24b06083-3484-4bce-8d2a-e94fe75c2fba.jpg,691_0_154.01136399999996_41_1;466_204_175_182_1;456_0_81_79_1
46473e7c-914f-4fdd-88c8-0f83064fc93e.jpg,424_0_202_38_1;404_19_157_65_1;134_232_189_190.01136399999996_1;85_4_96_63_0
3323faa1-568d-44e6-9915-c9f445e071dc.jpg,478_220_151_175_1;0_129_39_89_1
98cf4407-7b0a-46c5-9523-7d39ea5a505f.jpg,477_63_83_73_1;168_84_195_221_1;486_284_168_164_1;299_38_70_59_1;499_1_57_30_1;357_0_53_16_1
1eed9c69-cbca-45e6-8d42-ba0162138c87.jpg,531_293_179_183.01136399999996_1
64423bb1-e41e-4db8-8b3c-ebdae7a18115.jpg,477_0_49_12_1;540_95_117_102.01136400000001_1;362_217_150_176_1;734_31_32_67_0
e5fc911a-ab4f-42f9-8bc2-b80b0ac30df2.jpg,0_12_53_56_1;176_72_110_105_1;513_83_93_89_1;767_226_195_182_1;432_272_182_188_1;92_28_113_69_1;592_8_81_61_1;747_18_75_64_1;23_458_233_41_1
82ab8ee0-91bb-40f0-84cb-045a25c79e53.jpg,0_91_110_166_1;919_129_150_109.01136400000001_1;795_217_158_157_1;148_24_229_331_1
7c43c784-2623-4506-a12d-c79f1fdb300b.jpg,103_0_95_15_1;288_0_258_33_1;370_227_155_161_1
47910b66-94bd-4ffe-ae2a-a321746af2fe.jpg,404_43_74_67_1;314_260_154_146_1
195830f0-e203-4658-8c1a-4fecfd03288d.jpg,335_0_60_37_1;38_0_124_61_1;166_195_161_155.01136399999996_1
7a2323cc-c88e-4d2b-b796-d80b278ecd3d.jpg,324_0_164_67_1;0_276_71_157_1;208_209_174_145_1;402_249_178_160_1;92_356_250_140.01136399999996_1;9_1_28_14_0;448_118_47_107_0;620_144_63_104_0;733_180_56_113_0
c236d243-0175-4d9c-993d-815934396d04.jpg,881_0_186_113_1;0_56_136_109_1;488_46_147_148_1;959_97_110_144_1;0_136_69_113_1;949_243_120_203_1;0_0_139_70_1;1031_1_38_37_1
2b2f6971-aa6d-4ddb-ae58-691555a9c8db.jpg,461_0_81_72_1;476_252_176_175_1;712_1_47_8_1
6154217f-6323-42e3-a82c-4e7747cf47ee.jpg,245_0_104_19_1;356_2_86_72_1;0_149_47_90_1;361_228_163_175.01136399999996_1;208_69_33_75_0
a6557aa4-8116-4f8e-b447-3e1f290b9d6f.jpg,680_247_151_147_1;920_274_148_152_1;667_51_55_49_1;671_5_42_36_1;443_57_65_44.011364_1;25_18_75_32_1;0_28_20_28_1;998_0_49_21_1;951_0_42_16_1
021c0cfb-07fc-4bb2-90af-9fb20942d253.jpg,0_0_78_29_1;113_0_300_59_1;407_0_136_30_1;427_202_140_187_1;610_241_161_177.01136399999996_1;1041_121_26_71_1;897_19_85_65_0
eb2e6e2e-afc7-4022-b196-00f4ca7f30ce.jpg,44_3_100_55_1;785_80_161_83_1;0_172_116_145_1;185_0_74_31_1;0_1_54_31_1;150_1_278_418_1
79d1e091-be36-431a-8149-5498599c8a05.jpg,395_16_197_58_1;213_259_181_216_1
91d90660-0500-4bb7-8152-dc372b3a3dcf.jpg,253_297_185_160_1
326a93c1-6345-4fad-bf79-80bd32771a26.jpg,454_20_59_57_1;496_0_57_47_1;573_0_61_52_1;750_9_100_62_1;277_73_75_72_1;504_51_85_51_1;659_63_95_76_1;243_141_129_109.01136400000001_1;458_89_132_167_1;63_421_247_81_1;149_242_181_147.01136399999996_1;436_272_159_196.01136399999996_1;292_41_82_60_1;357_0_54_18_1
5b9e8e91-8be5-466c-82ee-e2db6e03a6b3.jpg,466_31_68_60_1;466_88_100_100_1;665_145_132_105_1;488_272_171_150_1;0_418_257_81_1;169_199_175_180.01136399999996_1;256_0_57_12_1;1035_2_32.01136399999996_63_1;120_2_33_33_0;595_1_21_30_0;666_5_26_47_0;712_1_27_37_0;641_6_22_66_0;850_33_25_71_0;828_1_18_38_0
ea940819-d737-40f4-802e-5409b03cdc48.jpg,680_168_126_175_1;175_267_188_141.01136399999996_1
2ba2281d-3514-4b07-bbc3-b5342f74138e.jpg,249_1_78_20_1;457_0_79_62_1;732_0_100_65_1;450_209_183_190.01136399999996_1;369_0_70_28_1
5904dd37-5ba0-475f-b479-ddff32afa48e.jpg,126_0_62_27_1;560_3_61_31_1;709_11_70_36_1;464_233_161_161_1;865_309_200_185_1;999_183_70_93_1;630_1_79_38_1;0_0_62_49_1;50_0_43_30_1;473_25_51_51_0;66_39_49_51_0;579_44_55_45_0;670_32_50_45_0
fe8d2e2d-01d9-4ae8-a34d-45537914346d.jpg,250_0_96_93_1;431_0_105_56_1;181_119_141_117.01136399999999_1;0_434_178_66_1;353_219_187_199.01136399999996_1
a0db90c4-bd9e-41c0-84fa-4bccd8276803.jpg,457_0_77_46_1;440_34_109_134_1;394_198_149_137_1;747_194_206_158_1;195_425_233_75_1;726_346_225_151_1;628_342_86_158_0
72001fb2-7808-4cbd-ae02-fac05772e6a2.jpg,707_51_84_73_1;930_64_119_83_1;540_191_146_146_1;291_215_163_155_1;780_1_43_22_0;1_1_33_14_0;60_1_21_10_0;1_26_19_54_0
76c07ffc-cd6e-4d21-9c36-82260654eab2.jpg,435_50_59_56_1;883_21_125_47_1;610_85_75_62_1;537_128_91_85_1;628_276_161_142.01136399999996_1;335_0_43_25_1;411_0_29_19_1;437_0_59_41_1;700_0_61_11_1;145_20_65_36_1;60_30_84_31_1;0_45_25_30_1;237_4_85_25_1;1040_184_27_54_1;903_51_58_42_0;758_41_42_41_0;570_49_52_45_0;89_51_49_36_0;553_64_49_43_0
d81cc7a7-80b0-4bee-93ab-e5b7f26446e8.jpg,155_29_50_39_1;393_16_43_40_1;788_11_44_32_1;473_70_53_47_1;902_16_107_50_1;514_37_86_39_1;563_52_146_52_1;287_75_83_65_1;507_104_75_65_1;578_157_85_72_1;380_262_136_140_1;554_240_145_122_1;611_389_192_108.01136400000001_1;847_369_219.01136399999996_127.01136399999996_1;196_13_68_28_1;639_29_60_34_1;602_0_41_25_1;826_0_37_17_1;549_72_64_53_1;421_0_35_19_1;872_0_36_18_1;1017_173_52_71_1;869_30_36_26_1
b51e3a84-28bd-4225-a4be-0184c48d6b86.jpg,350_0_39_8_1;511_21_45_40_1;576_10_45_40_1;567_54_62_48_1;745_15_107_46_1;210_49_74_49_1;278_115_100_99_1;579_110_85_69_1;471_147_86_79_1;134_272_189_147_1;670_285_146_133_1;386_325_187_171_1;409_0_40_11_1;0_1_47_10_1;110_0_72_12_1;13_9_68_34_1;526_0_41_30_1;572_0_35_12_1;713_1_52_27_1
72d4bcb2-638c-47a3-a8ea-e94289e31081.jpg,244_0_51_8_1;355_0_47_17_1;467_4_63_46_1;77_20_81_63_1;502_39_70_63_1;298_85_86_103_1;677_76_84_77_1;461_274_175_175_1;102_1_78_32_1;303_53_78_46_1;425_0_36_13_1
26855023-5dc7-42ae-ab1d-46905792ba1d.jpg,0_0_59_22_1;246_0_75_38_1;436_0_61_52_1;523_0_64_42_1;117_0_95_76_1;330_15_86_64_1;375_124_116_111_1;557_215_158_167_1;807_264_256_229_1;101_61_91_109_0
a1641143-52c5-4dac-b02e-346e42f5dca1.jpg,619_0_110_47_1;797_42_100_64_1;1_42_132_92_1;249_36_100_115_1;783_98_133_105_1;550_212_177_170_1;231_0_104_57_1;822_0_74_56_1;42_283_249_215_1
93fa30b7-1334-4fb1-afa6-83b6a36964b8.jpg,631_17_78_58_1;141_22_99_71_1;531_58_84_84_1;788_14_77_78_1;902_60_116_76_1;101_107_148_119.01136400000001_1;716_160_157_107_1;552_205_152_156_1;0_81_15_68_1;533_0_56_19_1;972_7_93_45_1
55305d27-ef0b-49a2-8575-2997056ed00f.jpg,0_2_71_44_1;283_0_43_31_1;390_39_64_51_1;144_0_140_77_1;95_55_119_92_1;491_60_69_56_1;598_9_93_131_1;849_37_110_45_1;459_141_100_83_1;634_143_101_83_1;411_281_162_140_1;659_276_154_139_1;237_110_185_199_1;0_231_261_269_1;572_37_25_43_1;325_0_36_18_1;378_8_42_36_1;374_0_46_25_1;496_0_31_8_1;559_1_36_17_1;540_4_39_30_1;493_9_54_47_1;807_23_23_35_0
12e47abe-48b0-46d9-828b-0399da2aa936.jpg,97_209_202_168_1;394_235_193_197_1;0_476_159_23_1;232_1_57_9_1
0ea94a53-9af0-4207-84f4-9934339ba351.jpg,353_8_168_56_1;531_0_119_22_1;701_13_171_65_1;712_123_165_119_1;956_126_112_134_1;95_374_212_125_1;546_452_193_48_1;177_204_170_155_1;430_215_163_176_1
ee4b73c4-0d3f-4779-b44a-294ecc5dd825.jpg,203_35_109_68_1;194_110_128_139_1;492_166_137_130_1;58_282_208_171_1;963_0_104_36_1
